FG,FGA,3P,3P%,FT,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Year
43.1,87.3,13.6,0.369,19.6,0.79,9.4,32.6,42.0,27.0,6.9,3.3,13.3,19.5,2023
42.2,88.8,16.0,0.377,17.5,0.812,9.7,35.6,45.3,26.7,6.4,5.2,13.4,18.8,2023
42.6,90.7,12.8,0.354,19.7,0.761,12.8,34.6,47.3,23.3,6.5,4.2,13.2,20.6,2023
41.7,85.6,12.9,0.387,21.4,0.835,8.9,32.9,41.8,25.7,7.9,4.8,14.0,20.9,2023
44.2,87.8,12.0,0.379,17.1,0.751,10.3,33.4,43.7,29.3,7.7,4.6,14.8,18.9,2023
40.9,86.2,15.5,0.371,19.4,0.755,7.8,31.9,39.7,23.4,6.4,3.8,12.5,21.2,2023
43.9,90.9,10.6,0.352,18.2,0.818,11.0,32.6,43.7,24.6,7.0,4.8,12.7,18.5,2023
43.0,88.1,12.0,0.367,18.2,0.78,10.0,32.5,42.5,25.8,7.4,4.8,13.8,19.7,2023
42.1,88.0,16.2,0.385,15.6,0.794,10.3,33.3,43.6,29.1,7.0,3.8,15.9,20.9,2023
42.0,88.8,13.2,0.353,18.5,0.786,11.7,33.7,45.4,25.7,6.0,5.2,15.2,20.2,2023
42.9,93.5,11.0,0.335,18.8,0.784,13.0,31.0,44.0,24.5,9.6,5.3,11.9,20.5,2023
42.2,89.2,14.7,0.368,16.4,0.743,11.0,37.0,48.0,25.5,6.3,4.9,14.4,17.8,2023
42.3,90.8,11.9,0.356,18.8,0.809,11.2,31.6,42.8,23.9,8.1,4.1,12.8,20.6,2023
43.0,90.6,11.8,0.351,17.2,0.733,11.9,34.0,45.9,25.6,8.2,5.7,13.4,19.7,2023
42.7,91.3,12.4,0.374,17.4,0.793,12.0,32.8,44.8,27.6,7.2,5.3,13.7,21.5,2023
41.6,87.2,12.9,0.381,18.9,0.781,9.9,33.9,43.8,24.2,7.2,4.5,14.4,19.7,2023
42.0,86.3,13.0,0.378,17.9,0.8,8.3,32.8,41.1,25.9,7.2,6.3,13.9,21.4,2023
40.9,86.4,13.0,0.365,19.9,0.796,9.6,31.5,41.0,24.5,6.8,4.6,14.6,20.3,2023
41.4,88.3,13.4,0.367,18.4,0.79,10.0,30.9,40.9,26.6,7.6,5.7,14.7,20.9,2023
41.9,87.0,10.5,0.346,20.2,0.775,9.7,34.9,44.7,24.7,6.3,4.5,13.8,17.5,2023
